Number,FantasyPosition,PlayerSeasonID,AuctionValue,AuctionValuePPR
82,TE,991323158,,
7,DB,991307514,,
7,DB,991337534,,
8,DB,991337535,,
8,DB,991307515,,
97,DL,991307516,,
97,DL,991337536,,
70,OL,991337537,,
70,OL,991307517,,
91,LB,991337538,,
91,LB,991307518,,
54,LB,991307519,,
49,LB,991307520,,
9,QB,991337539,,
9,QB,991307521,,
3,RB,991307522,,
79,OL,991307523,,
79,OL,991337540,,
29,DB,991337541,,
29,DB,991307524,,
64,OL,991337542,,
64,OL,991307525,,
65,OL,991307526,,
93,DL,991307527,,
74,DL,991307528,,
39,DB,991307529,,
48,LB,991337543,,
48,LB,991307530,,
52,LB,991307531,,
52,LB,991337544,,
87,WR,991337545,,
87,WR,991307532,,
62,OL,991337546,,
62,OL,991307533,,
81,WR,991307534,,
53,LB,991307535,,
53,LB,991337547,,
32,LB,991337548,,
32,LB,991307536,,
0,TE,991337549,,
0,TE,991307537,,
17,WR,991337550,,
17,WR,991307538,,
39,RB,991307539,,
18,WR,991307540,,
26,DB,991307541,,
26,DB,991337551,,
36,DB,991337552,,
36,DB,991307542,,
61,OL,991307543,,
96,DL,991307544,,
96,DL,991337553,,
16,QB,991307545,,
41,LB,991307546,,
27,DB,991307547,,
84,TE,991337554,,
84,TE,991307548,,
23,RB,991307549,,
23,RB,991337555,,
86,WR,991307550,,
15,WR,991307551,,
15,WR,991337556,,
11,LB,991337557,,
11,LB,991307552,,
33,LB,991307553,,
3,LB,991337558,,
4,WR,991337559,,
4,WR,991307554,,
80,WR,991307555,,
35,K,991307556,,
10,K,991337560,,
92,DL,991337561,,
55,DL,991307557,,
57,LB,991307558,,
57,LB,991337562,,
22,DB,991337563,,
22,DB,991307559,,
75,DL,991307560,,
28,DB,991307561,,
67,OL,991307562,,
20,DB,991307563,,
47,LB,991307564,,
35,DB,991307565,,
25,DB,991307566,,
31,DB,991307567,,
31,DB,991337564,,
45,TE,991307568,,
66,OL,991307569,,
34,RB,991307570,,
71,OL,991307571,,
42,DB,991307572,,
58,LB,991307573,,
43,DB,991307574,,
88,WR,991307575,,
81,WR,991337565,,
11,QB,991340563,,
11,QB,991315068,,
8,K,991340564,,
8,K,991315069,,
50,DL,991315070,,
50,DL,991340565,,
97,DL,991340566,,
97,DL,991315071,,
31,DB,991340567,,
31,DB,991315072,,
62,OL,991315073,,
62,OL,991340568,,
69,DL,991315074,,
69,DL,991340569,,
30,RB,991324802,,
46,LS,991315075,,
46,LS,991340570,,
49,LB,991315076,,
49,LB,991340571,,
2,WR,991340572,,
2,WR,991315077,,
81,TE,991315078,,
81,TE,991340573,,
37,DB,991315079,,
36,DB,991315080,,
36,DB,991340574,,
53,LB,991340575,,
53,LB,991315081,,
21,RB,991315082,,
98,DL,991315083,,
98,DL,991340576,,
71,OL,991315084,,
71,OL,991340577,,
80,WR,991315085,,
78,OL,991315086,,
14,WR,991315087,,
14,WR,991340578,,
88,TE,991315088,,
4,RB,991315089,,
4,RB,991340579,,
12,WR,991340580,,
12,WR,991315090,,
85,TE,991340581,,
85,TE,991315091,,
73,OL,991340582,,
73,OL,991315092,,
1,DB,991340583,,
91,DL,991340584,,
91,DL,991315093,,
60,OL,991315094,,
26,DB,991340585,,
25,DB,991315095,,
52,OL,991340586,,
52,OL,991315096,,
26,DB,991315097,,
45,LB,991315098,,
55,DL,991315099,,
55,DL,991340587,,
24,DB,991340588,,
24,DB,991315100,,
90,DL,991315101,,
90,DL,991340589,,
70,OL,991315102,,
70,OL,991340590,,
9,DB,991340591,,
9,DB,991315103,,
48,LB,991340592,,
64,DL,991315104,,
6,DB,991315105,,
6,DB,991340593,,
68,OL,991315106,,
92,DL,991315107,,
92,DL,991340594,,
38,RB,991321736,,
22,DB,991315108,,
22,DB,991340595,,
83,WR,991315109,,
39,DB,991340596,,
39,DB,991315110,,
33,DB,991340597,,
63,OL,991315111,,
13,WR,991315112,,
96,DL,991315113,,
99,DL,991340598,,
99,DL,991315114,,
44,LB,991340599,,
44,LB,991315115,,
58,OL,991340600,,
58,OL,991315116,,
17,QB,991315117,,
17,QB,991340601,,
10,WR,991315118,,
29,DB,991340602,,
29,DB,991315119,,
23,RB,991315120,,
23,RB,991340603,,
74,OL,991315121,,
26,DB,991321737,,
32,DB,991315122,,
